asset_id,asset_name,asset_type,service_id,criticality,internet_exposed,environment,owner
A001,Identity Server Node 001,Container,S005,High,False,Hybrid,Platform
A002,Application Node 002,Network Device,S009,Critical,False,Cloud,Platform
A003,Cloud Storage Node 003,Identity Server,S005,High,True,Production,Data
A004,Identity Server Node 004,Application,S010,High,False,Cloud,Data
A005,Endpoint Node 005,Workstation,S003,Medium,False,Hybrid,Data
A006,API Server Node 006,Cloud Storage,S008,Critical,False,Production,Application
A007,Identity Server Node 007,Identity Server,S007,Critical,False,Production,Data
A008,Container Node 008,Network Device,S003,High,False,Production,Platform
A009,Identity Server Node 009,Identity Server,S007,High,True,Hybrid,Data
A010,Application Node 010,Application,S002,Low,True,Hybrid,Operations
A011,Workstation Node 011,Cloud Storage,S007,Medium,False,Production,Platform
A012,Workstation Node 012,Container,S002,Medium,False,Production,Operations
A013,Web Server Node 013,Network Device,S008,Medium,False,Production,Security
A014,Database Node 014,Web Server,S008,High,False,Cloud,Application
A015,Container Node 015,Application,S001,High,False,Production,Data
A016,Database Node 016,Cloud Storage,S009,Medium,True,Hybrid,Platform
A017,Identity Server Node 017,Container,S003,Medium,True,Cloud,Application
A018,Application Node 018,Web Server,S001,High,False,Production,Platform
A019,API Server Node 019,Cloud Storage,S002,Medium,False,Cloud,Platform
A020,Container Node 020,Cloud Storage,S010,High,False,Cloud,Operations
A021,Workstation Node 021,Database,S006,High,False,Production,Infrastructure
A022,Web Server Node 022,Database,S003,Medium,True,Production,Infrastructure
A023,API Server Node 023,Identity Server,S003,Critical,False,Production,Security
A024,Network Device Node 024,Container,S001,Critical,True,Hybrid,Data
A025,Container Node 025,API Server,S010,High,False,Hybrid,Platform
A026,Endpoint Node 026,Web Server,S001,Critical,False,Production,Data
A027,Endpoint Node 027,Workstation,S008,Low,False,Production,Data
A028,API Server Node 028,Endpoint,S004,Medium,False,Hybrid,Application
A029,Endpoint Node 029,Web Server,S007,High,False,Production,Data
A030,Endpoint Node 030,Cloud Storage,S002,High,True,Production,Security
A031,Workstation Node 031,Database,S006,Medium,False,Cloud,Security
A032,API Server Node 032,Identity Server,S004,High,True,Production,Data
A033,Web Server Node 033,Web Server,S002,Critical,False,Production,Operations
A034,Identity Server Node 034,Container,S008,High,False,Production,Infrastructure
A035,Web Server Node 035,Web Server,S009,Medium,True,Cloud,Security
A036,Cloud Storage Node 036,Workstation,S010,Critical,False,Development,Security
A037,Network Device Node 037,Application,S007,High,False,Cloud,Data
A038,Application Node 038,Application,S006,Medium,False,Development,Platform
A039,Identity Server Node 039,API Server,S009,Medium,False,Production,Platform
A040,Network Device Node 040,Container,S008,High,True,Hybrid,Security
A041,Application Node 041,Endpoint,S010,High,False,Cloud,Platform
A042,Application Node 042,Web Server,S009,High,False,Production,Platform
A043,Identity Server Node 043,Application,S001,Medium,False,Cloud,Security
A044,Database Node 044,Container,S004,High,False,Development,Data
A045,API Server Node 045,Network Device,S001,High,False,Production,Security
A046,Application Node 046,API Server,S006,Low,False,Production,Security
A047,Endpoint Node 047,Cloud Storage,S010,High,False,Development,Application
A048,Container Node 048,Cloud Storage,S009,High,False,Hybrid,Platform
A049,API Server Node 049,Endpoint,S008,High,False,Production,Security
A050,Cloud Storage Node 050,Identity Server,S008,High,False,Production,Security
A051,Endpoint Node 051,Container,S003,High,True,Production,Infrastructure
A052,Database Node 052,Application,S005,Critical,False,Production,Application
A053,Application Node 053,Database,S005,Medium,False,Development,Operations
A054,Network Device Node 054,Workstation,S003,Medium,False,Production,Operations
A055,Web Server Node 055,Web Server,S001,Critical,False,Cloud,Data
A056,Container Node 056,Application,S005,High,True,Production,Platform
A057,Database Node 057,Container,S004,High,False,Production,Data
A058,Endpoint Node 058,Cloud Storage,S008,Low,False,Cloud,Platform
A059,Cloud Storage Node 059,Endpoint,S001,High,True,Production,Security
A060,Application Node 060,Network Device,S007,Medium,False,Hybrid,Infrastructure
A061,Container Node 061,Application,S009,High,False,Production,Application
A062,Endpoint Node 062,Cloud Storage,S008,Critical,False,Production,Platform
