impact_id,threat_id,asset_type,impact_type,min_value,likely_value,max_value,unit,confidence,source,last_updated
IA_T001_IDENTITY_SERVER_RECOVERY,T001,Identity Server,recovery,938817.0,1270184.0,2219314.0,INR,0.81,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_IDENTITY_SERVER_DOWNTIME,T001,Identity Server,downtime,2.0,3.0,5.0,hours,0.84,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_IDENTITY_SERVER_DATA_LOSS,T001,Identity Server,data_loss,766713.0,1065402.0,1811888.0,INR,0.76,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_IDENTITY_SERVER_REGULATORY,T001,Identity Server,regulatory,292612.0,484271.0,850099.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_IDENTITY_SERVER_REPUTATION,T001,Identity Server,reputation,591663.0,874927.0,1702493.0,INR,0.89,Synthetic prototype assumption — alternative dataset,2026-09-15
I001,T001,Database,recovery,892760.0,1489960.0,2174747.0,INR,0.92,Synthetic prototype assumption — alternative dataset,2026-09-15
I002,T001,Database,downtime,4.0,6.0,12.0,hours,0.91,Synthetic prototype assumption — alternative dataset,2026-09-15
I003,T001,Database,data_loss,1923603.0,3438908.0,6291552.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
I004,T001,Database,regulatory,447678.0,913686.0,1467594.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
I005,T001,Database,reputation,827743.0,1221504.0,2075551.0,INR,0.7,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_CLOUD_WORKLOAD_RECOVERY,T001,Cloud Workload,recovery,692838.0,1178197.0,1833459.0,INR,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_CLOUD_WORKLOAD_DOWNTIME,T001,Cloud Workload,downtime,4.0,8.0,12.0,hours,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_CLOUD_WORKLOAD_DATA_LOSS,T001,Cloud Workload,data_loss,1657221.0,2249465.0,3553762.0,INR,0.71,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_CLOUD_WORKLOAD_REGULATORY,T001,Cloud Workload,regulatory,605927.0,970879.0,1551655.0,INR,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_CLOUD_WORKLOAD_REPUTATION,T001,Cloud Workload,reputation,1503952.0,2126539.0,4156829.0,INR,0.78,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_NETWORK_DEVICE_RECOVERY,T001,Network Device,recovery,312624.0,466670.0,656150.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_NETWORK_DEVICE_DOWNTIME,T001,Network Device,downtime,3.0,4.0,7.0,hours,0.9,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_NETWORK_DEVICE_DATA_LOSS,T001,Network Device,data_loss,163431.0,319340.0,556039.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_NETWORK_DEVICE_REGULATORY,T001,Network Device,regulatory,72154.0,150399.0,223180.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_NETWORK_DEVICE_REPUTATION,T001,Network Device,reputation,238348.0,479457.0,884150.0,INR,0.87,Synthetic prototype assumption — alternative dataset,2026-09-15
I006,T001,Web Server,recovery,598907.0,966948.0,1770437.0,INR,0.94,Synthetic prototype assumption — alternative dataset,2026-09-15
I007,T001,Web Server,downtime,3.0,4.0,8.0,hours,0.67,Synthetic prototype assumption — alternative dataset,2026-09-15
I008,T001,Web Server,data_loss,225939.0,467112.0,658789.0,INR,0.72,Synthetic prototype assumption — alternative dataset,2026-09-15
I009,T001,Web Server,regulatory,123429.0,206573.0,388837.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
I010,T001,Web Server,reputation,230723.0,351506.0,597714.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_API_RECOVERY,T001,API,recovery,548977.0,1091644.0,2215582.0,INR,0.85,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_API_DOWNTIME,T001,API,downtime,3.0,4.0,6.0,hours,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_API_DATA_LOSS,T001,API,data_loss,604832.0,935382.0,1396453.0,INR,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_API_REGULATORY,T001,API,regulatory,204141.0,378453.0,774670.0,INR,0.93,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_API_REPUTATION,T001,API,reputation,366743.0,681353.0,1333686.0,INR,0.69,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_APPLICATION_RECOVERY,T001,Application,recovery,458504.0,812015.0,1147044.0,INR,0.86,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_APPLICATION_DOWNTIME,T001,Application,downtime,3.0,6.0,11.0,hours,0.88,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_APPLICATION_DATA_LOSS,T001,Application,data_loss,324868.0,673801.0,933039.0,INR,0.75,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_APPLICATION_REGULATORY,T001,Application,regulatory,216045.0,386413.0,676562.0,INR,0.66,Synthetic prototype assumption — alternative dataset,2026-09-15
IA_T001_APPLICATION_REPUTATION,T001,Application,reputation,290665.0,615613.0,854667.0,INR,0.85,Synthetic prototype assumption — alternative dataset,2026-09-15
